174;SP;MOGI DAS CRUZES;Private;473.519226;474.992310;546.530762;563.003845;596.153870
175;SP;RIBEIRAO PRETO;Private;522.373352;510.859985;562.630005;598.893311;622.000000
176;SP;GUARULHOS;Private;536.209106;559.872742;606.200012;598.063660;620.000000
177;SP;ITU;Private;612.083313;577.927795;611.466675;724.655579;663.333313
178;CE;ARACOIABA;State;406.763031;401.496979;460.039398;421.901215;354.060608
179;PR;FOZ DO IGUACU;State;451.955994;449.447998;500.544006;486.088013;459.200012
180;SP;QUATA;Private;562.820007;555.159973;613.450012;689.140015;672.000000
181;RJ;CAMPOS DOS GOYTACAZES;Private;567.193054;561.784729;597.772217;653.979187;636.666687
182;SP;ARUJA;Private;549.906250;521.531250;563.093750;640.150024;552.500000
183;SP;ITAPETININGA;Private;538.704529;559.663635;588.622742;645.209106;623.636353
184;SP;SAO JOAQUIM DA BARRA;Private;516.277283;505.904541;557.845459;607.086365;551.818176
185;SP;TUPA;Private;560.552002;531.403992;593.504028;614.684021;605.599976
186;SP;MOGI MIRIM;State;450.170441;458.877258;522.740906;546.431824;521.363647
187;RJ;RIO DAS OSTRAS;Private;540.687500;526.441650;573.687500;636.116638;596.666687
188;AL;ARAPIRACA;Private;514.015686;516.368652;551.092163;587.376465;582.745117
189;SP;AMPARO;Private;566.472717;538.790894;597.672729;655.845459;760.000000
190;CE;TABULEIRO DO NORTE;Private;482.378571;492.364288;541.750000;550.035706;592.857117
191;SE;ITABAIANA;Private;555.700012;556.978027;588.106018;624.812012;622.799988
192;SP;MAIRINQUE;State;449.877777;449.788879;501.355560;531.683838;506.666656
193;SP;FRANCA;Private;564.632874;562.400024;601.027161;662.965698;655.714294
194;SP;ANDRADINA;State;440.239502;449.633331;504.734558;482.219757;535.555542
195;SP;SAO CARLOS;State;461.990906;468.782776;522.438293;521.223938;564.497620
196;CE;QUIXADA;Private;543.842407;540.966675;574.972717;601.445435;643.030273
197;SP;SAO BERNARDO DO CAMPO;State;455.682007;457.207001;520.062012;516.744995;562.531982
198;SP;JACAREI;State;473.056702;477.468658;534.376099;526.510437;591.641785
199;PR;CURITIBA;State;504.670959;496.283875;538.280640;551.306458;512.903198
200;SP;SANTO ANDRE;State;468.182068;471.986908;529.116577;528.712402;541.517212
201;PR;PORTO AMAZONAS;State;452.553345;463.193329;516.020020;481.423340;484.000000
202;SP;AMERICANA;Private;520.271973;527.711975;567.643982;619.780029;641.599976
203;SP;LINS;Private;534.192200;519.266235;573.138977;638.457153;616.883118
204;SP;SANTO ANDRE;State;466.057098;470.473450;538.410156;524.955994;572.145447
205;SP;OSVALDO CRUZ;State;517.860352;525.963989;554.949524;599.701782;611.171143
206;PR;PINHAIS;State;452.314758;454.278687;518.398376;503.857391;468.196716
207;SP;SOROCABA;State;438.598053;429.605896;493.423523;486.390198;496.470581
208;SP;FRANCA;State;441.403442;457.577576;529.986206;511.101715;553.448303
209;PR;ARAUCARIA;State;424.361115;426.116669;476.377777;467.388885;350.000000
210;CE;PARAMBU;State;400.704498;404.767273;458.323730;437.759460;378.078064
211;SP;SAO PAULO;State;472.127411;487.137085;530.525818;528.509705;565.161316
212;SP;SANTANA DE PARNAIBA;Municipal;441.996429;451.091064;506.751801;484.112488;485.000000
213;SP;SAO PAULO;Private;487.892853;503.149994;557.564270;573.992859;588.571411
214;CE;ITAPIPOCA;State;407.248596;409.500000;467.463898;450.634735;447.919434
215;PI;TERESINA;Private;635.716431;619.888184;629.940796;761.071045;724.868408
216;PB;ITABAIANA;Private;475.086212;492.351715;544.062073;522.655151;614.482788
